Date,Exercise,Tool,Weight (kg),Series,Reps,Rest,Duration,Order,Notes
2022-07-20,Deadhang pull up,Bodyweight,0.0,1,3,2:00,0:00,1,"50 pull ups program
"
2022-07-20,Deadhang pull up,Bodyweight,0.0,1,5,2:00,0:00,2,"50 pull ups program
"
2022-07-20,Deadhang pull up,Bodyweight,0.0,2,3,2:00,0:00,3,"50 pull ups program
"
2022-07-20,Deadhang pull up,Bodyweight,0.0,1,5,2:00,0:00,4,"50 pull ups program
"
2022-07-20,Chest press,Dumbbells,15.0,3,12,0:45,0:00,5,
2022-07-20,Push up,Bodyweight,0.0,2,12,1:00,0:00,6,100 push ups program
2022-07-20,Push up,Bodyweight,0.0,2,7,1:00,0:00,7,100 push ups program
2022-07-20,Push up,Bodyweight,0.0,1,12,1:00,0:00,8,100 push ups program
2022-07-20,Dip,Bodyweight,0.0,1,3,1:00,0:00,9,150 dips program
2022-07-20,Dip,Bodyweight,0.0,1,4,1:00,0:00,10,150 dips program
2022-07-20,Dip,Bodyweight,0.0,2,3,1:00,0:00,11,150 dips program
2022-07-20,Dip,Bodyweight,0.0,1,6,1:00,0:00,12,150 dips program
2022-07-20,Cable overhead extension (medium),Cable rope,15.0,3,12,0:45,0:00,13,
2022-07-20,Pullover,Dumbbell,12.5,3,12,0:45,0:00,14,
2022-07-20,Skullcrusher,Kettlebell (1),8.0,3,12,0:45,0:00,15,
2022-07-20,30m,None,0.0,30,0,0:30,0:30,16,Split 30s-30s 9.5km/h-14km/h
