Date,Exercise,Tool,Weight (kg),Series,Reps,Rest,Duration,Order,Notes
2022-07-24,Standing 3x7,Dumbbells (2),7.0,3,12,45,0,1,Triset with standing twisting curl - alternate and standing reverse curl - simultaneous
2022-07-24,Standing twisting curl - alternate,Dumbbells (2),14.0,3,12,45,0,2,"Triset with standing 3x7 and standing reverse curl - simultaneous
Cheated"
2022-07-24,Standing reverse curl - simultaneous,Dumbbells (2),7.0,3,12,45,0,3,Triset with standing 3x7 and standing twisting curl - alternate
