Exercise,Group,Tool,Current weight -12 reps (kg),Objective - 12 reps (kg),Milifranz,Duration,Video,Last executed
Leg extension,Legs,Machine,40.0,0.0,Infinity,0:00,,2022-07-18
Leg curl,Legs,Machine,40.0,0.0,Infinity,0:00,,2022-07-18
Squats,Legs,Sandbag,15.0,0.0,Infinity,0:00,https://www.youtube.com/watch?v=44eHWUBx54I,2022-07-18
Deadhang pull up,Back,None,"0.0, 0.0, 0.0",0.0,0,0:00,,"2022-07-18,2022-07-18,2022-07-18"
Arnold press,Shoulders,Dumbbells (2),7.5,0.0,Infinity,0:00,,2022-07-18
Lateral raise,Shoulders,Kettlebells (2),6.0,0.0,Infinity,0:00,,2022-07-18
Front raise,Shoulders,Sandbag,15.0,0.0,Infinity,0:00,,2022-07-18
Upright rows,Neck,Kettlebells (2),8.0,0.0,Infinity,0:00,,2022-07-18
Roman chair knee raise,Abs,Dumbbell (1),"5.0, 5.0",0.0,100,0:00,,"2022-07-18,2022-07-18"
3K,Cardio,None,0.0,0.0,NaN,14:00,,2022-07-18
Battle ropes - inside waves,Cardio,Battle ropes (2),,0.0,NaN,0:30,,2022-07-18
Battle ropes - snake waves,Cardio,Battle ropes (2),,0.0,NaN,0:30,,2022-07-18
Battle ropes - slamming waves,Cardio,Battle ropes (2),,0.0,NaN,0:30,,2022-07-18
Battle ropes - unilateral waves,Cardio,Battle ropes (2),,0.0,NaN,0:30,,2022-07-18
Battle ropes - bilateral waves,Cardio,Battle ropes (2),,0.0,NaN,0:30,,2022-07-18
